Time FVT_juv_0_Migrating_Biomass(tonnes) FVT_juv_0_Total_biomass(tonnes) FVT_juv_0_Prop_Migrating FVT_ad_0_Migrating_Biomass(tonnes) FVT_ad_0_Total_biomass(tonnes) FVT_ad_0_Prop_Migrating SB_juv_0_Migrating_Biomass(tonnes) SB_juv_0_Total_biomass(tonnes) SB_juv_0_Prop_Migrating SB_ad_0_Migrating_Biomass(tonnes) SB_ad_0_Total_biomass(tonnes) SB_ad_0_Prop_Migrating WHB_juv_0_Migrating_Biomass(tonnes) WHB_juv_0_Total_biomass(tonnes) WHB_juv_0_Prop_Migrating WHB_ad_0_Migrating_Biomass(tonnes) WHB_ad_0_Total_biomass(tonnes) WHB_ad_0_Prop_Migrating
0.000000e+00 9.145513e+03 1.602356e+04 5.707542e-01 3.671856e+02 5.279456e+02 6.954989e-01 1.189878e+02 5.971062e+01 1.992741e+00 5.412008e+01 2.826196e+01 1.914944e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.000000e+00 9.145513e+03 1.602372e+04 5.707485e-01 3.671856e+02 5.278195e+02 6.956650e-01 1.189878e+02 5.971062e+01 1.992741e+00 5.412008e+01 2.826197e+01 1.914944e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.000000e+00 9.145513e+03 1.602369e+04 5.707496e-01 3.671856e+02 5.276900e+02 6.958357e-01 1.189878e+02 5.971062e+01 1.992741e+00 5.412008e+01 2.826198e+01 1.914943e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.000000e+00 9.145513e+03 1.602366e+04 5.707506e-01 3.671856e+02 5.275606e+02 6.960064e-01 1.189878e+02 5.971062e+01 1.992741e+00 5.412008e+01 2.826199e+01 1.914943e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.000000e+00 9.145513e+03 1.602363e+04 5.707516e-01 3.671856e+02 5.274313e+02 6.961770e-01 1.189878e+02 5.971062e+01 1.992741e+00 5.412008e+01 2.826199e+01 1.914942e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.000000e+00 9.145513e+03 1.602360e+04 5.707526e-01 3.671856e+02 5.273020e+02 6.963477e-01 1.189878e+02 5.971063e+01 1.992741e+00 5.412008e+01 2.826200e+01 1.914941e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.000000e+00 9.145513e+03 1.602358e+04 5.707535e-01 3.671856e+02 5.271728e+02 6.965184e-01 1.189878e+02 5.971063e+01 1.992741e+00 5.412008e+01 2.826201e+01 1.914941e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.000000e+00 9.145513e+03 1.602355e+04 5.707543e-01 3.671856e+02 5.270437e+02 6.966890e-01 1.189878e+02 5.971063e+01 1.992741e+00 5.412008e+01 2.826202e+01 1.914940e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.000000e+00 9.145513e+03 1.602353e+04 5.707552e-01 3.671856e+02 5.269146e+02 6.968597e-01 1.189878e+02 5.971063e+01 1.992741e+00 5.412008e+01 2.826203e+01 1.914940e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
9.000000e+00 9.145513e+03 1.602351e+04 5.707559e-01 3.671856e+02 5.267856e+02 6.970304e-01 1.189878e+02 5.971063e+01 1.992741e+00 5.412008e+01 2.826204e+01 1.914939e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.000000e+01 9.145513e+03 1.602349e+04 5.707567e-01 3.671856e+02 5.266566e+02 6.972011e-01 1.189878e+02 5.971063e+01 1.992740e+00 5.412008e+01 2.826205e+01 1.914938e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.100000e+01 9.145513e+03 1.366756e+04 6.691404e-01 3.671856e+02 3.810072e+02 9.637233e-01 1.189878e+02 5.971063e+01 1.992740e+00 5.412008e+01 2.826206e+01 1.914938e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.200000e+01 9.145513e+03 1.366805e+04 6.691160e-01 3.671856e+02 3.809440e+02 9.638832e-01 1.189878e+02 5.971064e+01 1.992740e+00 5.412008e+01 2.826207e+01 1.914937e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.300000e+01 9.145513e+03 1.366855e+04 6.690916e-01 3.671856e+02 3.808809e+02 9.640431e-01 1.189878e+02 5.971064e+01 1.992740e+00 5.412008e+01 2.826208e+01 1.914936e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.400000e+01 9.145513e+03 1.366905e+04 6.690672e-01 3.671856e+02 3.808177e+02 9.642029e-01 1.189878e+02 5.971064e+01 1.992740e+00 5.412008e+01 2.826209e+01 1.914936e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.500000e+01 9.145513e+03 1.366955e+04 6.690427e-01 3.671856e+02 3.807546e+02 9.643628e-01 1.189878e+02 5.971064e+01 1.992740e+00 5.412008e+01 2.826210e+01 1.914935e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.600000e+01 9.145513e+03 1.367005e+04 6.690182e-01 3.671856e+02 3.806915e+02 9.645226e-01 1.189878e+02 5.971064e+01 1.992740e+00 5.412008e+01 2.826211e+01 1.914934e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.700000e+01 9.145513e+03 1.367055e+04 6.689936e-01 3.671856e+02 3.806285e+02 9.646823e-01 1.189878e+02 5.971064e+01 1.992740e+00 5.412008e+01 2.826212e+01 1.914934e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.800000e+01 9.145513e+03 1.367106e+04 6.689690e-01 3.671856e+02 3.805654e+02 9.648421e-01 1.189878e+02 5.971064e+01 1.992740e+00 5.412008e+01 2.826213e+01 1.914933e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.900000e+01 9.145513e+03 1.367158e+04 6.689434e-01 3.671856e+02 3.805028e+02 9.650009e-01 1.189878e+02 5.971065e+01 1.992740e+00 5.412008e+01 2.826214e+01 1.914932e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.000000e+01 9.145513e+03 1.367211e+04 6.689177e-01 3.671856e+02 3.804402e+02 9.651597e-01 1.189878e+02 5.971065e+01 1.992740e+00 5.412008e+01 2.826215e+01 1.914931e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.100000e+01 9.145513e+03 1.367263e+04 6.688919e-01 3.671856e+02 3.803776e+02 9.653185e-01 1.189878e+02 5.971065e+01 1.992740e+00 5.412008e+01 2.826216e+01 1.914931e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.200000e+01 9.145513e+03 1.367316e+04 6.688661e-01 3.671856e+02 3.803151e+02 9.654773e-01 1.189878e+02 5.971065e+01 1.992740e+00 5.412008e+01 2.826217e+01 1.914930e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.300000e+01 9.145513e+03 1.367369e+04 6.688403e-01 3.671856e+02 3.802525e+02 9.656361e-01 1.189878e+02 5.971065e+01 1.992740e+00 5.412008e+01 2.826218e+01 1.914929e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.400000e+01 9.145513e+03 1.367422e+04 6.688144e-01 3.671856e+02 3.801900e+02 9.657948e-01 1.189878e+02 5.971065e+01 1.992740e+00 5.412008e+01 2.826219e+01 1.914929e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.500000e+01 9.145513e+03 1.367475e+04 6.687884e-01 3.671856e+02 3.801276e+02 9.659534e-01 1.189878e+02 5.971065e+01 1.992740e+00 5.412008e+01 2.826220e+01 1.914928e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.600000e+01 9.145513e+03 1.367532e+04 6.687604e-01 3.671856e+02 3.800659e+02 9.661102e-01 1.189878e+02 5.971066e+01 1.992740e+00 5.412008e+01 2.826221e+01 1.914927e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.700000e+01 9.145513e+03 1.367589e+04 6.687324e-01 3.671856e+02 3.800042e+02 9.662670e-01 1.189878e+02 5.971066e+01 1.992740e+00 5.412008e+01 2.826222e+01 1.914927e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.800000e+01 9.145513e+03 1.367647e+04 6.687042e-01 3.671856e+02 3.799426e+02 9.664237e-01 1.189878e+02 5.971066e+01 1.992740e+00 5.412008e+01 2.826223e+01 1.914926e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.900000e+01 9.145513e+03 1.367705e+04 6.686761e-01 3.671856e+02 3.798810e+02 9.665804e-01 1.189878e+02 5.971066e+01 1.992740e+00 5.412008e+01 2.826225e+01 1.914925e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.000000e+01 9.145513e+03 1.367762e+04 6.686479e-01 3.671856e+02 3.798195e+02 9.667371e-01 1.189878e+02 5.971066e+01 1.992739e+00 5.412008e+01 2.826226e+01 1.914924e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.100000e+01 9.145513e+03 1.367820e+04 6.686196e-01 3.671856e+02 3.797579e+02 9.668937e-01 1.189878e+02 5.971066e+01 1.992739e+00 5.412008e+01 2.826227e+01 1.914924e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.200000e+01 9.145513e+03 1.367878e+04 6.685913e-01 3.671856e+02 3.796964e+02 9.670503e-01 1.189878e+02 5.971066e+01 1.992739e+00 5.412008e+01 2.826228e+01 1.914923e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.300000e+01 9.145513e+03 1.367940e+04 6.685610e-01 3.671856e+02 3.796357e+02 9.672050e-01 1.189878e+02 5.971067e+01 1.992739e+00 5.412008e+01 2.826229e+01 1.914922e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.400000e+01 9.145513e+03 1.368002e+04 6.685307e-01 3.671856e+02 3.795750e+02 9.673596e-01 1.189878e+02 5.971067e+01 1.992739e+00 5.412008e+01 2.826230e+01 1.914921e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.500000e+01 9.145513e+03 1.368064e+04 6.685004e-01 3.671856e+02 3.795144e+02 9.675142e-01 1.189878e+02 5.971067e+01 1.992739e+00 5.412008e+01 2.826231e+01 1.914921e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.600000e+01 9.145513e+03 1.368126e+04 6.684699e-01 3.671856e+02 3.794537e+02 9.676688e-01 1.189878e+02 5.971067e+01 1.992739e+00 5.412008e+01 2.826232e+01 1.914920e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.700000e+01 9.145513e+03 1.368189e+04 6.684395e-01 3.671856e+02 3.793931e+02 9.678234e-01 1.189878e+02 5.971067e+01 1.992739e+00 5.412008e+01 2.826233e+01 1.914919e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.800000e+01 9.145513e+03 1.368251e+04 6.684090e-01 3.671856e+02 3.793326e+02 9.679779e-01 1.189878e+02 5.971067e+01 1.992739e+00 5.412008e+01 2.826234e+01 1.914918e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.900000e+01 9.145513e+03 1.368314e+04 6.683784e-01 3.671856e+02 3.792720e+02 9.681324e-01 1.189878e+02 5.971068e+01 1.992739e+00 5.412008e+01 2.826236e+01 1.914918e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.000000e+01 9.145513e+03 1.206900e+04 7.577688e-01 3.609086e+02 6.978967e+02 5.171376e-01 1.189878e+02 5.971068e+01 1.992739e+00 5.412008e+01 2.826237e+01 1.914917e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.100000e+01 9.145513e+03 1.208848e+04 7.565478e-01 3.609086e+02 6.977395e+02 5.172541e-01 1.189878e+02 5.971068e+01 1.992739e+00 5.412008e+01 2.826238e+01 1.914916e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.200000e+01 9.145513e+03 1.210798e+04 7.553293e-01 3.609086e+02 6.975824e+02 5.173706e-01 1.189878e+02 5.971068e+01 1.992739e+00 5.412008e+01 2.826239e+01 1.914915e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.300000e+01 9.145513e+03 1.212751e+04 7.541133e-01 3.609086e+02 6.974254e+02 5.174870e-01 1.189878e+02 5.971068e+01 1.992739e+00 5.412008e+01 2.826240e+01 1.914915e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.400000e+01 9.145513e+03 1.214705e+04 7.528998e-01 3.609086e+02 6.972685e+02 5.176035e-01 1.189878e+02 5.971068e+01 1.992739e+00 5.412008e+01 2.826241e+01 1.914914e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.500000e+01 9.145513e+03 1.216662e+04 7.516889e-01 3.609086e+02 6.971116e+02 5.177199e-01 1.189878e+02 5.971069e+01 1.992739e+00 5.412008e+01 2.826242e+01 1.914913e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.600000e+01 9.145513e+03 1.218621e+04 7.504804e-01 3.609086e+02 6.969549e+02 5.178364e-01 1.189878e+02 5.971069e+01 1.992739e+00 5.412008e+01 2.826243e+01 1.914912e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.700000e+01 9.145513e+03 1.220586e+04 7.492722e-01 3.609086e+02 6.967998e+02 5.179516e-01 1.189878e+02 5.971069e+01 1.992739e+00 5.412008e+01 2.826244e+01 1.914912e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.800000e+01 9.145513e+03 1.222553e+04 7.480665e-01 3.609086e+02 6.966447e+02 5.180669e-01 1.189878e+02 5.971069e+01 1.992739e+00 5.412008e+01 2.826245e+01 1.914911e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.900000e+01 9.145513e+03 1.224523e+04 7.468633e-01 3.609086e+02 6.964898e+02 5.181822e-01 1.189878e+02 5.971069e+01 1.992738e+00 5.412008e+01 2.826247e+01 1.914910e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.000000e+01 9.145513e+03 1.226495e+04 7.456625e-01 3.609086e+02 6.963349e+02 5.182974e-01 1.189878e+02 5.971069e+01 1.992738e+00 5.412008e+01 2.826248e+01 1.914909e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.100000e+01 9.145513e+03 1.228469e+04 7.444642e-01 3.609086e+02 6.961802e+02 5.184126e-01 1.189878e+02 5.971070e+01 1.992738e+00 5.412008e+01 2.826249e+01 1.914909e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.200000e+01 9.145513e+03 1.230446e+04 7.432683e-01 3.609086e+02 6.960255e+02 5.185278e-01 1.189878e+02 5.971070e+01 1.992738e+00 5.412008e+01 2.826250e+01 1.914908e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.300000e+01 9.145513e+03 1.232425e+04 7.420748e-01 3.609086e+02 6.958709e+02 5.186430e-01 1.189878e+02 5.971070e+01 1.992738e+00 5.412008e+01 2.826251e+01 1.914907e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.400000e+01 9.145513e+03 1.234411e+04 7.408810e-01 3.609086e+02 6.957182e+02 5.187569e-01 1.189878e+02 5.971070e+01 1.992738e+00 5.412008e+01 2.826252e+01 1.914906e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.500000e+01 9.145513e+03 1.236399e+04 7.396896e-01 3.609086e+02 6.955656e+02 5.188707e-01 1.189878e+02 5.971070e+01 1.992738e+00 5.412008e+01 2.826253e+01 1.914906e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.600000e+01 9.145513e+03 1.238389e+04 7.385006e-01 3.609086e+02 6.954130e+02 5.189845e-01 1.189878e+02 5.971070e+01 1.992738e+00 5.412008e+01 2.826255e+01 1.914905e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.700000e+01 9.145513e+03 1.240382e+04 7.373140e-01 3.609086e+02 6.952606e+02 5.190983e-01 1.189878e+02 5.971071e+01 1.992738e+00 5.412008e+01 2.826256e+01 1.914904e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.800000e+01 9.145513e+03 1.242378e+04 7.361297e-01 3.609086e+02 6.951082e+02 5.192121e-01 1.189878e+02 5.971071e+01 1.992738e+00 5.412008e+01 2.826257e+01 1.914903e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.900000e+01 9.145513e+03 1.244376e+04 7.349479e-01 3.609086e+02 6.949559e+02 5.193259e-01 1.189878e+02 5.971071e+01 1.992738e+00 5.412008e+01 2.826258e+01 1.914902e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.000000e+01 9.145513e+03 1.246376e+04 7.337684e-01 3.609086e+02 6.948037e+02 5.194396e-01 1.189878e+02 5.971071e+01 1.992738e+00 5.412008e+01 2.826259e+01 1.914902e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.100000e+01 9.145513e+03 1.248381e+04 7.325900e-01 3.609086e+02 6.946522e+02 5.195529e-01 1.189878e+02 5.971071e+01 1.992738e+00 5.412008e+01 2.826260e+01 1.914901e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.200000e+01 9.145513e+03 1.250388e+04 7.314140e-01 3.609086e+02 6.945009e+02 5.196662e-01 1.189878e+02 5.971071e+01 1.992738e+00 5.412008e+01 2.826262e+01 1.914900e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.300000e+01 9.145513e+03 1.252398e+04 7.302404e-01 3.609086e+02 6.943496e+02 5.197794e-01 1.189878e+02 5.971072e+01 1.992738e+00 5.412008e+01 2.826263e+01 1.914899e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.400000e+01 9.145513e+03 1.254410e+04 7.290690e-01 3.609086e+02 6.941983e+02 5.198926e-01 1.189878e+02 5.971072e+01 1.992738e+00 5.412008e+01 2.826264e+01 1.914898e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.500000e+01 9.145513e+03 1.256424e+04 7.279000e-01 3.609086e+02 6.940472e+02 5.200058e-01 1.189878e+02 5.971072e+01 1.992738e+00 5.412008e+01 2.826265e+01 1.914898e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.600000e+01 9.145513e+03 1.258441e+04 7.267334e-01 3.609086e+02 6.938962e+02 5.201190e-01 1.189878e+02 5.971072e+01 1.992738e+00 5.412008e+01 2.826266e+01 1.914897e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.700000e+01 9.145513e+03 1.260461e+04 7.255690e-01 3.609086e+02 6.937452e+02 5.202322e-01 1.189878e+02 5.971072e+01 1.992737e+00 5.412008e+01 2.826268e+01 1.914896e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.800000e+01 9.145513e+03 1.262480e+04 7.244085e-01 3.609086e+02 6.935935e+02 5.203459e-01 1.189878e+02 5.971072e+01 1.992737e+00 5.412008e+01 2.826269e+01 1.914895e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.900000e+01 9.145513e+03 1.264502e+04 7.232502e-01 3.609086e+02 6.934420e+02 5.204597e-01 1.189878e+02 5.971073e+01 1.992737e+00 5.412008e+01 2.826270e+01 1.914894e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.000000e+01 9.145513e+03 1.266526e+04 7.220943e-01 3.609086e+02 6.932905e+02 5.205734e-01 1.189878e+02 5.971073e+01 1.992737e+00 5.412008e+01 2.826271e+01 1.914894e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.100000e+01 9.145513e+03 1.266581e+04 7.220628e-01 3.609086e+02 6.931391e+02 5.206871e-01 1.189878e+02 5.971073e+01 1.992737e+00 5.412008e+01 2.826272e+01 1.914893e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.200000e+01 9.145513e+03 1.266637e+04 7.220313e-01 3.609086e+02 6.929877e+02 5.208008e-01 1.189878e+02 5.971073e+01 1.992737e+00 5.412008e+01 2.826273e+01 1.914892e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.300000e+01 9.145513e+03 1.266692e+04 7.219996e-01 3.609086e+02 6.928365e+02 5.209145e-01 1.189878e+02 5.971073e+01 1.992737e+00 5.412008e+01 2.826275e+01 1.914891e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.400000e+01 9.145513e+03 1.266748e+04 7.219679e-01 3.609086e+02 6.926853e+02 5.210282e-01 1.189878e+02 5.971073e+01 1.992737e+00 5.412008e+01 2.826276e+01 1.914890e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.500000e+01 9.145513e+03 1.266805e+04 7.219352e-01 3.609086e+02 6.925347e+02 5.211415e-01 1.189878e+02 5.971074e+01 1.992737e+00 5.412008e+01 2.826277e+01 1.914890e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.600000e+01 9.145513e+03 1.266863e+04 7.219025e-01 3.609086e+02 6.923841e+02 5.212548e-01 1.189878e+02 5.971074e+01 1.992737e+00 5.412008e+01 2.826278e+01 1.914889e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.700000e+01 9.145513e+03 1.266920e+04 7.218697e-01 3.609086e+02 6.922337e+02 5.213682e-01 1.189878e+02 5.971074e+01 1.992737e+00 5.412008e+01 2.826279e+01 1.914888e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.800000e+01 9.145513e+03 1.266978e+04 7.218367e-01 3.609086e+02 6.920833e+02 5.214814e-01 1.189878e+02 5.971074e+01 1.992737e+00 5.412008e+01 2.826280e+01 1.914887e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.900000e+01 9.145513e+03 1.267036e+04 7.218037e-01 3.609086e+02 6.919330e+02 5.215947e-01 1.189878e+02 5.971074e+01 1.992737e+00 5.412008e+01 2.826282e+01 1.914886e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.000000e+01 9.145513e+03 1.267094e+04 7.217705e-01 3.609086e+02 6.917828e+02 5.217080e-01 1.189878e+02 5.971075e+01 1.992737e+00 5.412008e+01 2.826283e+01 1.914886e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.100000e+01 9.145513e+03 1.267153e+04 7.217372e-01 3.609086e+02 6.916326e+02 5.218212e-01 1.189878e+02 5.971075e+01 1.992737e+00 5.412008e+01 2.826284e+01 1.914885e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.200000e+01 9.145513e+03 1.267216e+04 7.217012e-01 3.609086e+02 6.914841e+02 5.219333e-01 1.189878e+02 5.971075e+01 1.992737e+00 5.412008e+01 2.826285e+01 1.914884e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.300000e+01 9.145513e+03 1.267280e+04 7.216650e-01 3.609086e+02 6.913356e+02 5.220454e-01 1.189878e+02 5.971075e+01 1.992737e+00 5.412008e+01 2.826286e+01 1.914883e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.400000e+01 9.145513e+03 1.267343e+04 7.216287e-01 3.609086e+02 6.911872e+02 5.221575e-01 1.189878e+02 5.971075e+01 1.992736e+00 5.412008e+01 2.826288e+01 1.914882e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.500000e+01 9.145513e+03 1.267407e+04 7.215923e-01 3.609086e+02 6.910390e+02 5.222695e-01 1.189878e+02 5.971075e+01 1.992736e+00 5.412008e+01 2.826289e+01 1.914881e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.600000e+01 9.145513e+03 1.267471e+04 7.215558e-01 3.609086e+02 6.908908e+02 5.223816e-01 1.189878e+02 5.971076e+01 1.992736e+00 5.412008e+01 2.826290e+01 1.914881e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.700000e+01 9.145513e+03 1.267536e+04 7.215192e-01 3.609086e+02 6.907426e+02 5.224936e-01 1.189878e+02 5.971076e+01 1.992736e+00 5.412008e+01 2.826291e+01 1.914880e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.800000e+01 9.145513e+03 1.267600e+04 7.214824e-01 3.609086e+02 6.905946e+02 5.226056e-01 1.189878e+02 5.971076e+01 1.992736e+00 5.412008e+01 2.826293e+01 1.914879e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
